RprtDt,StateCd,Number of plan reassessments,Questionnaire,Indicator number,Indicator description,percentage Baseline,percentage Reassessment 1,percentage Reassessment 2,percentage Reassessment 3,percentage Reassessment 4,percentage Reassessment 5,percentage Reassessment 6,percentage Reassessment 7,percentage Reassessment 8
31/12/2024,TAS,5,Participant 15 to 24,22,Has the NDIS helped you be more involved?,na,0.40,0.52,0.53,0.53,0.63,na,na,na
31/12/2024,VIC,5,Participant 15 to 24,1,% who are happy with the level of independence/control they have now,0.28,0.28,0.30,0.29,0.29,0.36,na,na,na
31/12/2024,VIC,5,Participant 15 to 24,2,% who choose who supports them,0.25,0.26,0.28,0.28,0.34,0.36,na,na,na
31/12/2024,VIC,5,Participant 15 to 24,3,% who choose what they do each day,0.33,0.35,0.37,0.36,0.46,0.45,na,na,na
31/12/2024,VIC,5,Participant 15 to 24,4,% who had been given the opportunity to participate in a self-advocacy group meeting,0.16,0.15,0.16,0.17,0.13,0.18,na,na,na
31/12/2024,VIC,5,Participant 15 to 24,5,% who want more choice and control in their life,0.81,0.87,0.88,0.88,0.90,0.91,na,na,na
31/12/2024,VIC,5,Participant 15 to 24,6,% with no friends other than family or paid staff,0.35,0.32,0.32,0.33,0.33,0.33,na,na,na
31/12/2024,VIC,5,Participant 15 to 24,7,"% who have been actively involved in a community, cultural or religious group in the last 12 months",0.34,0.38,0.40,0.39,0.38,0.42,na,na,na
31/12/2024,VIC,5,Participant 15 to 24,8,% who are happy with their home,0.83,0.83,0.83,0.81,0.76,0.74,na,na,na
31/12/2024,VIC,5,Participant 15 to 24,9,% who feel safe or very safe in their home,0.84,0.83,0.82,0.79,0.76,0.80,na,na,na
31/12/2024,VIC,5,Participant 15 to 24,10,"% who rate their health as good, very good or excellent",0.72,0.71,0.68,0.67,0.64,0.65,na,na,na
31/12/2024,VIC,5,Participant 15 to 24,11,% who did not have any difficulties accessing health services,0.69,0.71,0.72,0.70,0.66,0.69,na,na,na
31/12/2024,VIC,5,Participant 15 to 24,12,% who currently attend or previously attended school in a mainstream class,0.31,0.29,0.29,0.29,0.25,0.25,na,na,na
31/12/2024,VIC,5,Participant 15 to 24,13,% who have a paid job,0.08,0.10,0.13,0.17,0.13,0.24,na,na,na
31/12/2024,VIC,5,Participant 15 to 24,14,% who volunteer,0.07,0.08,0.10,0.09,0.06,0.09,na,na,na
31/12/2024,VIC,5,Participant 15 to 24,15,Has the NDIS helped you have more choices and more control over your life?,na,0.58,0.65,0.67,0.64,0.76,na,na,na
31/12/2024,VIC,5,Participant 15 to 24,16,Has the NDIS helped you with daily living activities?,na,0.60,0.67,0.72,0.74,0.81,na,na,na
31/12/2024,VIC,5,Participant 15 to 24,17,Has the NDIS helped you to meet more people?,na,0.48,0.50,0.51,0.50,0.62,na,na,na
31/12/2024,VIC,5,Participant 15 to 24,18,Has your involvement with the NDIS helped you to choose a home that's right for you?,na,0.21,0.18,0.17,0.16,0.25,na,na,na
31/12/2024,VIC,5,Participant 15 to 24,19,Has your involvement with the NDIS improved your health and wellbeing?,na,0.43,0.48,0.47,0.46,0.60,na,na,na
31/12/2024,VIC,5,Participant 15 to 24,20,Has your involvement with the NDIS helped you to learn things you want to learn or to take courses you want to take?,na,0.37,0.35,0.35,0.34,0.46,na,na,na
31/12/2024,VIC,5,Participant 15 to 24,21,Has your involvement with the NDIS helped you find a job that's right for you?,na,0.16,0.13,0.12,0.10,0.20,na,na,na
31/12/2024,VIC,5,Participant 15 to 24,22,Has the NDIS helped you be more involved?,na,0.53,0.58,0.61,0.58,0.71,na,na,na
31/12/2024,WA,5,Participant 15 to 24,1,% who are happy with the level of independence/control they have now,0.47,0.41,0.46,0.39,0.41,0.41,na,na,na
31/12/2024,WA,5,Participant 15 to 24,2,% who choose who supports them,0.31,0.30,0.32,0.34,0.42,0.40,na,na,na
31/12/2024,WA,5,Participant 15 to 24,3,% who choose what they do each day,0.38,0.41,0.38,0.46,0.46,0.56,na,na,na
31/12/2024,WA,5,Participant 15 to 24,4,% who had been given the opportunity to participate in a self-advocacy group meeting,0.17,0.17,0.19,0.17,0.20,0.21,na,na,na
31/12/2024,WA,5,Participant 15 to 24,5,% who want more choice and control in their life,0.77,0.84,0.90,0.92,0.90,0.90,na,na,na
31/12/2024,WA,5,Participant 15 to 24,6,% with no friends other than family or paid staff,0.37,0.34,0.34,0.39,0.31,0.34,na,na,na
31/12/2024,WA,5,Participant 15 to 24,7,"% who have been actively involved in a community, cultural or religious group in the last 12 months",0.33,0.35,0.26,0.33,0.40,0.42,na,na,na
31/12/2024,WA,5,Participant 15 to 24,8,% who are happy with their home,0.89,0.89,0.88,0.89,0.65,0.76,na,na,na
31/12/2024,WA,5,Participant 15 to 24,9,% who feel safe or very safe in their home,0.90,0.89,0.85,0.87,0.79,0.84,na,na,na
31/12/2024,WA,5,Participant 15 to 24,10,"% who rate their health as good, very good or excellent",0.73,0.71,0.71,0.72,0.71,0.69,na,na,na
31/12/2024,WA,5,Participant 15 to 24,11,% who did not have any difficulties accessing health services,0.86,0.90,0.89,0.83,0.79,0.81,na,na,na
31/12/2024,WA,5,Participant 15 to 24,12,% who currently attend or previously attended school in a mainstream class,0.51,0.52,0.49,0.58,0.41,0.47,na,na,na
31/12/2024,WA,5,Participant 15 to 24,13,% who have a paid job,0.15,0.19,0.25,0.29,0.24,0.34,na,na,na
31/12/2024,WA,5,Participant 15 to 24,14,% who volunteer,0.14,0.15,0.14,0.14,0.26,0.19,na,na,na
31/12/2024,WA,5,Participant 15 to 24,15,Has the NDIS helped you have more choices and more control over your life?,na,0.68,0.72,0.70,0.70,0.77,na,na,na
31/12/2024,WA,5,Participant 15 to 24,16,Has the NDIS helped you with daily living activities?,na,0.73,0.80,0.79,0.78,0.80,na,na,na
31/12/2024,WA,5,Participant 15 to 24,17,Has the NDIS helped you to meet more people?,na,0.55,0.57,0.59,0.57,0.62,na,na,na
31/12/2024,WA,5,Participant 15 to 24,18,Has your involvement with the NDIS helped you to choose a home that's right for you?,na,0.29,0.28,0.29,0.35,0.34,na,na,na
31/12/2024,WA,5,Participant 15 to 24,19,Has your involvement with the NDIS improved your health and wellbeing?,na,0.52,0.55,0.58,0.55,0.65,na,na,na
31/12/2024,WA,5,Participant 15 to 24,20,Has your involvement with the NDIS helped you to learn things you want to learn or to take courses you want to take?,na,0.38,0.43,0.42,0.40,0.47,na,na,na
31/12/2024,WA,5,Participant 15 to 24,21,Has your involvement with the NDIS helped you find a job that's right for you?,na,0.26,0.30,0.31,0.19,0.31,na,na,na
31/12/2024,WA,5,Participant 15 to 24,22,Has the NDIS helped you be more involved?,na,0.65,0.71,0.66,0.70,0.72,na,na,na
31/12/2024,ACT,5,Participant 25 and over,1,% who choose who supports them,0.69,0.68,0.65,0.73,0.69,0.76,na,na,na
31/12/2024,ACT,5,Participant 25 and over,2,% who choose what they do each day,0.79,0.80,0.81,0.79,0.79,0.81,na,na,na
31/12/2024,ACT,5,Participant 25 and over,3,% who had been given the opportunity to participate in a self-advocacy group meeting,0.32,0.31,0.32,0.32,0.33,0.34,na,na,na
31/12/2024,ACT,5,Participant 25 and over,4,% who want more choice and control in their life,0.71,0.74,0.75,0.76,0.83,0.80,na,na,na
31/12/2024,ACT,5,Participant 25 and over,5,% with no friends other than family or paid staff,0.22,0.24,0.21,0.26,0.17,0.24,na,na,na
31/12/2024,ACT,5,Participant 25 and over,6,"% who have been actively involved in a community, cultural or religious group in the last 12 months",0.37,0.40,0.43,0.41,0.48,0.46,na,na,na
31/12/2024,ACT,5,Participant 25 and over,7,% who are happy with their home,0.68,0.68,0.75,0.79,0.67,0.77,na,na,na
31/12/2024,ACT,5,Participant 25 and over,8,% who feel safe or very safe in their home,0.70,0.72,0.77,0.73,0.62,0.71,na,na,na
31/12/2024,ACT,5,Participant 25 and over,9,"% who rate their health as good, very good or excellent",0.47,0.47,0.44,0.43,0.39,0.41,na,na,na
31/12/2024,ACT,5,Participant 25 and over,10,% who did not have any difficulties accessing health services,0.67,0.67,0.68,0.69,0.75,0.70,na,na,na
31/12/2024,ACT,5,Participant 25 and over,11,"% who participate in education, training or skill development",0.16,0.21,0.21,0.18,0.13,0.13,na,na,na
31/12/2024,ACT,5,Participant 25 and over,12,"Of those who participate, % who do so in mainstream settings",na,na,na,na,na,na,na,na,na
31/12/2024,ACT,5,Participant 25 and over,13,% unable to do a course or training they wanted to do in the last 12 months,0.45,0.51,0.46,0.37,0.38,0.37,na,na,na
31/12/2024,ACT,5,Participant 25 and over,14,% who have a paid job,0.33,0.32,0.30,0.31,0.35,0.30,na,na,na
31/12/2024,ACT,5,Participant 25 and over,15,% who volunteer,0.18,0.20,0.21,0.17,0.13,0.17,na,na,na
31/12/2024,ACT,5,Participant 25 and over,16,Has the NDIS helped you have more choices and more control over your life?,na,0.76,0.82,0.81,0.84,0.82,na,na,na
31/12/2024,ACT,5,Participant 25 and over,17,Has the NDIS helped you with daily living activities?,na,0.80,0.81,0.83,0.85,0.87,na,na,na
31/12/2024,ACT,5,Participant 25 and over,18,Has the NDIS helped you to meet more people?,na,0.54,0.57,0.58,0.56,0.62,na,na,na
31/12/2024,ACT,5,Participant 25 and over,19,Has your involvement with the NDIS helped you to choose a home that's right for you?,na,0.26,0.25,0.20,0.27,0.26,na,na,na
31/12/2024,ACT,5,Participant 25 and over,20,Has your involvement with the NDIS improved your health and wellbeing?,na,0.66,0.65,0.68,0.69,0.74,na,na,na
31/12/2024,ACT,5,Participant 25 and over,21,Has your involvement with the NDIS helped you to learn things you want to learn or to take courses you want to take?,na,0.31,0.31,0.32,0.28,0.31,na,na,na
31/12/2024,ACT,5,Participant 25 and over,22,Has your involvement with the NDIS helped you find a job that's right for you?,na,0.19,0.15,0.17,0.23,0.18,na,na,na
31/12/2024,ACT,5,Participant 25 and over,23,Has the NDIS helped you be more involved?,na,0.58,0.58,0.61,0.61,0.66,na,na,na
31/12/2024,ALL,5,Participant 25 and over,1,% who choose who supports them,0.54,0.54,0.53,0.54,0.50,0.55,na,na,na
31/12/2024,ALL,5,Participant 25 and over,2,% who choose what they do each day,0.63,0.63,0.63,0.63,0.59,0.63,na,na,na
31/12/2024,ALL,5,Participant 25 and over,3,% who had been given the opportunity to participate in a self-advocacy group meeting,0.26,0.26,0.27,0.27,0.27,0.28,na,na,na
31/12/2024,ALL,5,Participant 25 and over,4,% who want more choice and control in their life,0.77,0.82,0.85,0.85,0.85,0.85,na,na,na
31/12/2024,ALL,5,Participant 25 and over,5,% with no friends other than family or paid staff,0.29,0.29,0.29,0.28,0.29,0.29,na,na,na
31/12/2024,ALL,5,Participant 25 and over,6,"% who have been actively involved in a community, cultural or religious group in the last 12 months",0.38,0.42,0.44,0.45,0.45,0.48,na,na,na
31/12/2024,ALL,5,Participant 25 and over,7,% who are happy with their home,0.73,0.73,0.72,0.73,0.70,0.75,na,na,na
31/12/2024,ALL,5,Participant 25 and over,8,% who feel safe or very safe in their home,0.75,0.74,0.73,0.73,0.71,0.74,na,na,na
31/12/2024,ALL,5,Participant 25 and over,9,"% who rate their health as good, very good or excellent",0.50,0.48,0.46,0.45,0.41,0.46,na,na,na
31/12/2024,ALL,5,Participant 25 and over,10,% who did not have any difficulties accessing health services,0.66,0.68,0.68,0.70,0.70,0.69,na,na,na
31/12/2024,ALL,5,Participant 25 and over,11,"% who participate in education, training or skill development",0.15,0.16,0.16,0.16,0.13,0.12,na,na,na
31/12/2024,ALL,5,Participant 25 and over,12,"Of those who participate, % who do so in mainstream settings",0.49,0.48,0.49,0.48,0.46,0.50,na,na,na
31/12/2024,ALL,5,Participant 25 and over,13,% unable to do a course or training they wanted to do in the last 12 months,0.37,0.37,0.35,0.34,0.31,0.28,na,na,na
31/12/2024,ALL,5,Participant 25 and over,14,% who have a paid job,0.27,0.26,0.25,0.26,0.21,0.24,na,na,na
31/12/2024,ALL,5,Participant 25 and over,15,% who volunteer,0.13,0.14,0.14,0.13,0.11,0.12,na,na,na
31/12/2024,ALL,5,Participant 25 and over,16,Has the NDIS helped you have more choices and more control over your life?,na,0.70,0.75,0.79,0.80,0.85,na,na,na
31/12/2024,ALL,5,Participant 25 and over,17,Has the NDIS helped you with daily living activities?,na,0.73,0.80,0.83,0.85,0.88,na,na,na
31/12/2024,ALL,5,Participant 25 and over,18,Has the NDIS helped you to meet more people?,na,0.53,0.58,0.62,0.64,0.70,na,na,na
31/12/2024,ALL,5,Participant 25 and over,19,Has your involvement with the NDIS helped you to choose a home that's right for you?,na,0.31,0.32,0.33,0.37,0.41,na,na,na
31/12/2024,ALL,5,Participant 25 and over,20,Has your involvement with the NDIS improved your health and wellbeing?,na,0.52,0.56,0.59,0.61,0.69,na,na,na
31/12/2024,ALL,5,Participant 25 and over,21,Has your involvement with the NDIS helped you to learn things you want to learn or to take courses you want to take?,na,0.30,0.31,0.31,0.32,0.38,na,na,na
31/12/2024,ALL,5,Participant 25 and over,22,Has your involvement with the NDIS helped you find a job that's right for you?,na,0.20,0.18,0.19,0.17,0.24,na,na,na
31/12/2024,ALL,5,Participant 25 and over,23,Has the NDIS helped you be more involved?,na,0.60,0.66,0.69,0.72,0.78,na,na,na
31/12/2024,NSW,5,Participant 25 and over,1,% who choose who supports them,0.52,0.53,0.51,0.54,0.51,0.53,na,na,na
31/12/2024,NSW,5,Participant 25 and over,2,% who choose what they do each day,0.62,0.63,0.61,0.63,0.60,0.61,na,na,na
31/12/2024,NSW,5,Participant 25 and over,3,% who had been given the opportunity to participate in a self-advocacy group meeting,0.27,0.27,0.27,0.28,0.27,0.28,na,na,na
31/12/2024,NSW,5,Participant 25 and over,4,% who want more choice and control in their life,0.75,0.82,0.85,0.85,0.86,0.85,na,na,na
31/12/2024,NSW,5,Participant 25 and over,5,% with no friends other than family or paid staff,0.27,0.27,0.28,0.26,0.27,0.27,na,na,na
31/12/2024,NSW,5,Participant 25 and over,6,"% who have been actively involved in a community, cultural or religious group in the last 12 months",0.34,0.40,0.45,0.47,0.48,0.49,na,na,na
31/12/2024,NSW,5,Participant 25 and over,7,% who are happy with their home,0.74,0.74,0.72,0.74,0.72,0.75,na,na,na
31/12/2024,NSW,5,Participant 25 and over,8,% who feel safe or very safe in their home,0.76,0.76,0.74,0.76,0.73,0.75,na,na,na
31/12/2024,NSW,5,Participant 25 and over,9,"% who rate their health as good, very good or excellent",0.51,0.49,0.47,0.48,0.44,0.47,na,na,na
31/12/2024,NSW,5,Participant 25 and over,10,% who did not have any difficulties accessing health services,0.65,0.66,0.68,0.70,0.69,0.70,na,na,na
31/12/2024,NSW,5,Participant 25 and over,11,"% who participate in education, training or skill development",0.15,0.16,0.15,0.15,0.13,0.12,na,na,na
31/12/2024,NSW,5,Participant 25 and over,12,"Of those who participate, % who do so in mainstream settings",0.56,0.56,0.57,0.53,0.63,0.59,na,na,na
31/12/2024,NSW,5,Participant 25 and over,13,% unable to do a course or training they wanted to do in the last 12 months,0.37,0.37,0.36,0.35,0.32,0.28,na,na,na
31/12/2024,NSW,5,Participant 25 and over,14,% who have a paid job,0.30,0.30,0.28,0.29,0.25,0.27,na,na,na
31/12/2024,NSW,5,Participant 25 and over,15,% who volunteer,0.13,0.13,0.13,0.13,0.12,0.11,na,na,na
31/12/2024,NSW,5,Participant 25 and over,16,Has the NDIS helped you have more choices and more control over your life?,na,0.69,0.73,0.77,0.78,0.83,na,na,na
31/12/2024,NSW,5,Participant 25 and over,17,Has the NDIS helped you with daily living activities?,na,0.70,0.77,0.81,0.83,0.87,na,na,na
31/12/2024,NSW,5,Participant 25 and over,18,Has the NDIS helped you to meet more people?,na,0.52,0.58,0.62,0.64,0.68,na,na,na
31/12/2024,NSW,5,Participant 25 and over,19,Has your involvement with the NDIS helped you to choose a home that's right for you?,na,0.29,0.31,0.31,0.33,0.38,na,na,na
31/12/2024,NSW,5,Participant 25 and over,20,Has your involvement with the NDIS improved your health and wellbeing?,na,0.49,0.53,0.58,0.59,0.64,na,na,na
31/12/2024,NSW,5,Participant 25 and over,21,Has your involvement with the NDIS helped you to learn things you want to learn or to take courses you want to take?,na,0.30,0.30,0.30,0.30,0.34,na,na,na
31/12/2024,NSW,5,Participant 25 and over,22,Has your involvement with the NDIS helped you find a job that's right for you?,na,0.21,0.21,0.20,0.20,0.23,na,na,na
31/12/2024,NSW,5,Participant 25 and over,23,Has the NDIS helped you be more involved?,na,0.59,0.64,0.69,0.71,0.76,na,na,na
31/12/2024,NT,5,Participant 25 and over,1,% who choose who supports them,0.41,0.38,0.36,0.39,0.40,0.44,na,na,na
31/12/2024,NT,5,Participant 25 and over,2,% who choose what they do each day,0.55,0.50,0.49,0.51,0.56,0.53,na,na,na
31/12/2024,NT,5,Participant 25 and over,3,% who had been given the opportunity to participate in a self-advocacy group meeting,0.18,0.18,0.15,0.19,0.17,0.27,na,na,na
31/12/2024,NT,5,Participant 25 and over,4,% who want more choice and control in their life,0.84,0.92,0.92,0.83,0.83,0.86,na,na,na
31/12/2024,NT,5,Participant 25 and over,5,% with no friends other than family or paid staff,0.33,0.34,0.33,0.41,0.24,0.29,na,na,na
31/12/2024,NT,5,Participant 25 and over,6,"% who have been actively involved in a community, cultural or religious group in the last 12 months",0.42,0.45,0.41,0.48,0.50,0.54,na,na,na
31/12/2024,NT,5,Participant 25 and over,7,% who are happy with their home,0.59,0.61,0.61,0.50,0.49,0.69,na,na,na
31/12/2024,NT,5,Participant 25 and over,8,% who feel safe or very safe in their home,0.62,0.65,0.69,0.60,0.62,0.75,na,na,na
31/12/2024,NT,5,Participant 25 and over,9,"% who rate their health as good, very good or excellent",0.49,0.47,0.53,0.46,0.39,0.49,na,na,na
31/12/2024,NT,5,Participant 25 and over,10,% who did not have any difficulties accessing health services,0.50,0.53,0.55,0.58,0.68,0.61,na,na,na
31/12/2024,NT,5,Participant 25 and over,11,"% who participate in education, training or skill development",0.06,0.11,0.13,0.07,0.11,0.09,na,na,na
31/12/2024,NT,5,Participant 25 and over,12,"Of those who participate, % who do so in mainstream settings",na,na,na,na,na,na,na,na,na
31/12/2024,NT,5,Participant 25 and over,13,% unable to do a course or training they wanted to do in the last 12 months,0.29,0.32,0.26,0.21,0.24,0.23,na,na,na
31/12/2024,NT,5,Participant 25 and over,14,% who have a paid job,0.16,0.12,0.13,0.12,0.09,0.15,na,na,na
31/12/2024,NT,5,Participant 25 and over,15,% who volunteer,0.11,0.14,0.11,0.07,0.13,0.13,na,na,na
31/12/2024,NT,5,Participant 25 and over,16,Has the NDIS helped you have more choices and more control over your life?,na,0.55,0.65,0.61,0.64,0.78,na,na,na
31/12/2024,NT,5,Participant 25 and over,17,Has the NDIS helped you with daily living activities?,na,0.63,0.78,0.76,0.80,0.87,na,na,na
31/12/2024,NT,5,Participant 25 and over,18,Has the NDIS helped you to meet more people?,na,0.49,0.60,0.69,0.76,0.78,na,na,na
31/12/2024,NT,5,Participant 25 and over,19,Has your involvement with the NDIS helped you to choose a home that's right for you?,na,0.38,0.41,0.34,0.52,0.58,na,na,na
31/12/2024,NT,5,Participant 25 and over,20,Has your involvement with the NDIS improved your health and wellbeing?,na,0.46,0.51,0.58,0.60,0.70,na,na,na
31/12/2024,NT,5,Participant 25 and over,21,Has your involvement with the NDIS helped you to learn things you want to learn or to take courses you want to take?,na,0.22,0.23,0.21,0.27,0.43,na,na,na
31/12/2024,NT,5,Participant 25 and over,22,Has your involvement with the NDIS helped you find a job that's right for you?,na,0.13,0.12,0.17,0.17,0.30,na,na,na
31/12/2024,NT,5,Participant 25 and over,23,Has the NDIS helped you be more involved?,na,0.51,0.62,0.68,0.76,0.83,na,na,na
31/12/2024,QLD,5,Participant 25 and over,1,% who choose who supports them,0.51,0.51,0.50,0.50,0.48,0.54,na,na,na
31/12/2024,QLD,5,Participant 25 and over,2,% who choose what they do each day,0.61,0.60,0.61,0.59,0.57,0.62,na,na,na
31/12/2024,QLD,5,Participant 25 and over,3,% who had been given the opportunity to participate in a self-advocacy group meeting,0.25,0.24,0.24,0.25,0.24,0.26,na,na,na
31/12/2024,QLD,5,Participant 25 and over,4,% who want more choice and control in their life,0.81,0.85,0.88,0.89,0.88,0.86,na,na,na
31/12/2024,QLD,5,Participant 25 and over,5,% with no friends other than family or paid staff,0.28,0.28,0.28,0.27,0.28,0.29,na,na,na
31/12/2024,QLD,5,Participant 25 and over,6,"% who have been actively involved in a community, cultural or religious group in the last 12 months",0.41,0.48,0.48,0.48,0.45,0.50,na,na,na
31/12/2024,QLD,5,Participant 25 and over,7,% who are happy with their home,0.71,0.74,0.70,0.73,0.69,0.74,na,na,na
31/12/2024,QLD,5,Participant 25 and over,8,% who feel safe or very safe in their home,0.73,0.73,0.71,0.72,0.67,0.72,na,na,na
31/12/2024,QLD,5,Participant 25 and over,9,"% who rate their health as good, very good or excellent",0.50,0.49,0.46,0.44,0.40,0.46,na,na,na
31/12/2024,QLD,5,Participant 25 and over,10,% who did not have any difficulties accessing health services,0.65,0.68,0.68,0.68,0.71,0.68,na,na,na
31/12/2024,QLD,5,Participant 25 and over,11,"% who participate in education, training or skill development",0.11,0.12,0.12,0.12,0.12,0.10,na,na,na
31/12/2024,QLD,5,Participant 25 and over,12,"Of those who participate, % who do so in mainstream settings",0.50,0.49,0.44,0.51,0.43,0.54,na,na,na
31/12/2024,QLD,5,Participant 25 and over,13,% unable to do a course or training they wanted to do in the last 12 months,0.39,0.37,0.33,0.32,0.29,0.29,na,na,na
31/12/2024,QLD,5,Participant 25 and over,14,% who have a paid job,0.23,0.23,0.19,0.21,0.16,0.21,na,na,na
31/12/2024,QLD,5,Participant 25 and over,15,% who volunteer,0.14,0.14,0.13,0.14,0.12,0.12,na,na,na
31/12/2024,QLD,5,Participant 25 and over,16,Has the NDIS helped you have more choices and more control over your life?,na,0.75,0.81,0.83,0.84,0.88,na,na,na
31/12/2024,QLD,5,Participant 25 and over,17,Has the NDIS helped you with daily living activities?,na,0.79,0.84,0.87,0.88,0.91,na,na,na
31/12/2024,QLD,5,Participant 25 and over,18,Has the NDIS helped you to meet more people?,na,0.60,0.65,0.67,0.71,0.76,na,na,na
31/12/2024,QLD,5,Participant 25 and over,19,Has your involvement with the NDIS helped you to choose a home that's right for you?,na,0.36,0.38,0.39,0.45,0.46,na,na,na
31/12/2024,QLD,5,Participant 25 and over,20,Has your involvement with the NDIS improved your health and wellbeing?,na,0.59,0.64,0.66,0.68,0.75,na,na,na
31/12/2024,QLD,5,Participant 25 and over,21,Has your involvement with the NDIS helped you to learn things you want to learn or to take courses you want to take?,na,0.33,0.33,0.35,0.35,0.42,na,na,na
31/12/2024,QLD,5,Participant 25 and over,22,Has your involvement with the NDIS helped you find a job that's right for you?,na,0.20,0.16,0.18,0.15,0.22,na,na,na
31/12/2024,QLD,5,Participant 25 and over,23,Has the NDIS helped you be more involved?,na,0.67,0.73,0.77,0.78,0.82,na,na,na
31/12/2024,SA,5,Participant 25 and over,1,% who choose who supports them,0.57,0.60,0.62,0.58,0.47,0.58,na,na,na
31/12/2024,SA,5,Participant 25 and over,2,% who choose what they do each day,0.68,0.71,0.71,0.67,0.58,0.67,na,na,na
31/12/2024,SA,5,Participant 25 and over,3,% who had been given the opportunity to participate in a self-advocacy group meeting,0.22,0.21,0.22,0.22,0.22,0.25,na,na,na
31/12/2024,SA,5,Participant 25 and over,4,% who want more choice and control in their life,0.77,0.82,0.83,0.83,0.83,0.81,na,na,na
31/12/2024,SA,5,Participant 25 and over,5,% with no friends other than family or paid staff,0.28,0.29,0.27,0.29,0.31,0.30,na,na,na
31/12/2024,SA,5,Participant 25 and over,6,"% who have been actively involved in a community, cultural or religious group in the last 12 months",0.41,0.43,0.45,0.41,0.41,0.47,na,na,na
31/12/2024,SA,5,Participant 25 and over,7,% who are happy with their home,0.78,0.76,0.75,0.77,0.72,0.79,na,na,na
31/12/2024,SA,5,Participant 25 and over,8,% who feel safe or very safe in their home,0.77,0.77,0.75,0.73,0.73,0.78,na,na,na
31/12/2024,SA,5,Participant 25 and over,9,"% who rate their health as good, very good or excellent",0.51,0.49,0.47,0.43,0.41,0.45,na,na,na
31/12/2024,SA,5,Participant 25 and over,10,% who did not have any difficulties accessing health services,0.74,0.73,0.75,0.76,0.72,0.76,na,na,na
31/12/2024,SA,5,Participant 25 and over,11,"% who participate in education, training or skill development",0.10,0.10,0.08,0.09,0.05,0.07,na,na,na
31/12/2024,SA,5,Participant 25 and over,12,"Of those who participate, % who do so in mainstream settings",0.44,0.50,na,na,na,0.52,na,na,na
31/12/2024,SA,5,Participant 25 and over,13,% unable to do a course or training they wanted to do in the last 12 months,0.30,0.33,0.32,0.28,0.25,0.23,na,na,na
31/12/2024,SA,5,Participant 25 and over,14,% who have a paid job,0.31,0.30,0.30,0.26,0.23,0.26,na,na,na
31/12/2024,SA,5,Participant 25 and over,15,% who volunteer,0.13,0.13,0.16,0.12,0.11,0.12,na,na,na
31/12/2024,SA,5,Participant 25 and over,16,Has the NDIS helped you have more choices and more control over your life?,na,0.68,0.72,0.80,0.78,0.83,na,na,na
31/12/2024,SA,5,Participant 25 and over,17,Has the NDIS helped you with daily living activities?,na,0.74,0.82,0.87,0.88,0.88,na,na,na
31/12/2024,SA,5,Participant 25 and over,18,Has the NDIS helped you to meet more people?,na,0.49,0.54,0.62,0.59,0.66,na,na,na
31/12/2024,SA,5,Participant 25 and over,19,Has your involvement with the NDIS helped you to choose a home that's right for you?,na,0.33,0.34,0.39,0.43,0.43,na,na,na
31/12/2024,SA,5,Participant 25 and over,20,Has your involvement with the NDIS improved your health and wellbeing?,na,0.50,0.54,0.58,0.59,0.66,na,na,na
31/12/2024,SA,5,Participant 25 and over,21,Has your involvement with the NDIS helped you to learn things you want to learn or to take courses you want to take?,na,0.26,0.26,0.29,0.24,0.36,na,na,na
31/12/2024,SA,5,Participant 25 and over,22,Has your involvement with the NDIS helped you find a job that's right for you?,na,0.20,0.21,0.23,0.18,0.27,na,na,na
31/12/2024,SA,5,Participant 25 and over,23,Has the NDIS helped you be more involved?,na,0.57,0.62,0.68,0.72,0.75,na,na,na
31/12/2024,TAS,5,Participant 25 and over,1,% who choose who supports them,0.65,0.68,0.64,0.62,0.43,0.63,na,na,na
31/12/2024,TAS,5,Participant 25 and over,2,% who choose what they do each day,0.74,0.78,0.76,0.72,0.75,0.71,na,na,na
31/12/2024,TAS,5,Participant 25 and over,3,% who had been given the opportunity to participate in a self-advocacy group meeting,0.33,0.33,0.40,0.44,0.37,0.36,na,na,na
31/12/2024,TAS,5,Participant 25 and over,4,% who want more choice and control in their life,0.76,0.77,0.79,0.80,0.64,0.73,na,na,na
31/12/2024,TAS,5,Participant 25 and over,5,% with no friends other than family or paid staff,0.26,0.26,0.27,0.33,0.34,0.24,na,na,na
31/12/2024,TAS,5,Participant 25 and over,6,"% who have been actively involved in a community, cultural or religious group in the last 12 months",0.39,0.38,0.39,0.56,0.29,0.47,na,na,na
31/12/2024,TAS,5,Participant 25 and over,7,% who are happy with their home,0.77,0.77,0.75,0.78,0.68,0.76,na,na,na
31/12/2024,TAS,5,Participant 25 and over,8,% who feel safe or very safe in their home,0.82,0.81,0.82,0.87,0.71,0.83,na,na,na
31/12/2024,TAS,5,Participant 25 and over,9,"% who rate their health as good, very good or excellent",0.53,0.52,0.49,0.59,0.48,0.49,na,na,na
31/12/2024,TAS,5,Participant 25 and over,10,% who did not have any difficulties accessing health services,0.72,0.71,0.72,0.73,0.65,0.67,na,na,na
31/12/2024,TAS,5,Participant 25 and over,11,"% who participate in education, training or skill development",0.11,0.13,0.17,0.16,0.07,0.10,na,na,na
31/12/2024,TAS,5,Participant 25 and over,12,"Of those who participate, % who do so in mainstream settings",na,na,na,na,na,na,na,na,na
